DatalgReport_COD_MERCADORIA;DatalgReport_DCR_MARCA;FIELD;Text3;FIELD;DatalgReport_QTD_UNIDADE_AVARIA;FIELD
ALULB;161-SEM CAPA                      ;;22;;0;
APUPG;6-LOTE LOGISTICO;;6738;;0;
ASPEP;1-SEM MARCA;;9006;;0;
ASPLB2;1-SEM MARCA;;6;;0;
ASPLB5;15-KBL-20303050;;2400;;0;
ASPLB5;9-1 FX VERDE                    ;;33;;1;
ASPTS;1-SEM MARCA;;4300;;7;
ASPTS;9-1 FX VERDE                    ;;149;;0;
AXPLB;1-SEM MARCA;;4117;;1;
AXPLB2;1-SEM MARCA;;417;;3;
AXPLB2;11-2 FX VERDE                    ;;89;;0;
AXPPE;1-SEM MARCA;;1758;;0;
AXPTS;1-SEM MARCA;;72;;0;
AXULB;161-SEM CAPA                      ;;99;;0;
MSP1EP;1483-SETA PARA CIMA;;1000;;0;
MSP1EP;1011-DOIS SINAIS DE MAIS;;367;;0;
MSP1EP;1014-SINAL DE MAIS;;500;;0;
MSP1EP;1436-TRÊS QUADRADOS;;495;;0;
MSP1EP;1437-TRÊS CIRCULOS;;799;;0;
MSP1EP;1202-TRIANGULO TRIANGULO           ;;1750;;0;
MSP1EP;1435-TRÊS TRIANGULOS;;1000;;0;
MSP1EP;1333-QUADRADO TRIÂNGULO;;2;;0;
MSP1EP;1482-LOSANGO;;1000;;0;
MSP1EP;1484-DUAS SETAS PARA CIMA;;365;;0;
MSP1EP;995-TRIANGULO                     ;;500;;0;
MSP1EP;1527-DUAS BARRAS SETA PARA CIMA;;500;;0;
MSP1EP;1340-TRIANGULO UMA BARRA;;499;;0;
MSP1ET;1269-DOIS MEIO CIRCULO;;576;;0;
MSP1ET;1435-TRÊS TRIANGULOS;;241;;0;
MSP1ET;1439-TRÊS SINAIS DE MAIS;;500;;0;
MSP1ET;1489-TRÊS LOSANGOS;;500;;0;
MSP1ET;992-DUAS BARRAS;;500;;0;
MSP1ET;1477-DOIS QUADRADOS;;1;;0;
MSP2EP;992-DUAS BARRAS;;596;;0;
MSP2EP;1345-TRIANGULO DUAS BARRAS;;600;;0;
MSP2EP;1256-TRÊS BARRAS;;895;;0;
MSP2EP;1-SEM MARCA;;2542;;0;
MSP2EP;1482-LOSANGO;;691;;0;
MSP2EP;1715-DOIS LOSANGOS;;1350;;2;
MSP2ET;1378-MEIO CIRCULO SINAL DE MAIS;;896;;0;
MSP2ET;1437-TRÊS CIRCULOS;;355;;0;
MSP2ET;1269-DOIS MEIO CIRCULO;;1;;0;
MSP2ET;1530-DUAS BARRAS QUADRADO;;851;;0;
MSP2ET;1011-DOIS SINAIS DE MAIS;;568;;0;
MSP2ET;996-MEIO CIRCULO                  ;;1000;;0;
MSP2ET;1515-LOSANGO UMA BARRA;;500;;0;
MSP2ET;1-SEM MARCA;;894;;0;
MSP2ET;972-QUADRADO                      ;;1000;;0;
MSP2LB;1516-SETA PARA CIMA UMA BARRA;;48;;0;
MSP2PP;1251-UMA BARRA                     ;;768;;0;
MSP2SD;1-SEM MARCA;;250;;0;
MSP2SD;971-CIRCULO CHEIO                 ;;500;;0;
MSP2SD;972-QUADRADO                      ;;693;;0;
MSP2SD;1251-UMA BARRA                     ;;1500;;0;
MSP2T3;1-SEM MARCA;;550;;0;
MSP2T3;1337-QUADRADO MEIO CIRCULO;;499;;0;
MSP2T3;1527-DUAS BARRAS SETA PARA CIMA;;1044;;0;
MSP2T3;995-TRIANGULO                     ;;194;;0;
VCCJB;1-SEM MARCA;;878;;0;
VCCJB;171-SEM CAPA JUMBO BALE           ;;35;;3;
VCCJB21;5-1 FX PRETA                    ;;146;;1;
VCCJB31;10-2 FX PRETAS;;11;;1;
VCCW;1-SEM MARCA;;2607;;23;
VCCW21;5-1 FX PRETA                    ;;1037;;0;
VCCW31;10-2 FX PRETAS;;30;;0;
