Estoques WM com texto breve de material

Nº depósito			004


		Material		Cen.	Dep.	T	Lote	Estoque disponível	Texto breve material	Tp.	PosDepósit	UMB	Data EM	ÚltModif por	Últ.modif.

		0021039377		2100	PA04		S1131677	            2,000	MSP-1PP	CES	CA1201	TON	02.06.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132062	            2,000	MSP-1PP	CES	CA1201	TON	04.07.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132062	            2,000	MSP-1PP	CES	CA1201	TON	04.07.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132062	            2,000	MSP-1PP	CES	CA1201	TON	04.07.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132062	            2,000	MSP-1PP	CES	CA1201	TON	04.07.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132062	            2,000	MSP-1PP	CES	CA1201	TON	04.07.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132062	            2,000	MSP-1PP	CES	CA1201	TON	04.07.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132459	            2,000	MSP-1PP	CES	CA1201	TON	28.08.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132459	            2,000	MSP-1PP	CES	CA1201	TON	28.08.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132459	            2,000	MSP-1PP	CES	CA1201	TON	28.08.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132459	            2,000	MSP-1PP	CES	CA1201	TON	28.08.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132459	            2,000	MSP-1PP	CES	CA1201	TON	28.08.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132459	            2,000	MSP-1PP	CES	CA1201	TON	28.08.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132459	            2,000	MSP-1PP	CES	CA1201	TON	28.08.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132459	            2,000	MSP-1PP	CES	CA1201	TON	28.08.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132874	            2,000	MSP-1PP	CES	CA1201	TON	03.10.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132874	            2,000	MSP-1PP	CES	CA1201	TON	03.10.2023	WILLIAMP	16.12.2022
		0021039377		2100	PA04		S1132874	            2,000	MSP-1PP	CES	CA1201	TON	03.10.2023	WILLIAMP	16.12.2022
