DatalgReport_COD_MERCADORIA;DatalgReport_DCR_MARCA;FIELD;Text3;FIELD;DatalgReport_QTD_UNIDADE_AVARIA;FIELD
ABPPE;1-SEM MARCA                     ;;999;;1;
AEPPE;1-SEM MARCA                     ;;999;;0;
ALBLB;1-SEM MARCA                     ;;999;;7;
ALULB;161-SEM CAPA                      ;;999;;3;
AOPEP;1-SEM MARCA                     ;;999;;0;
APCOG;1465-1 FX AZUL - SEM CAPA;;999;;0;
APCPG;6-LOTE LOGISTICO;;999;;0;
APUPG;6-LOTE LOGISTICO;;999;;6;
ASPEP;1-SEM MARCA                     ;;999;;5;
ASPLB2;12-2 FX AZUL                     ;;999;;0;
ASPLB5;9-1 FX VERDE                    ;;999;;2;
MSP1EP;1437-TRÊS CIRCULOS;;999;;0;
MSP1EP;1256-TRÊS BARRAS;;999;;0;
MSP1EP;1335-QUADRADO SINAL DE MAIS;;999;;0;
MSP1EP;1531-DUAS BARRAS LOSANGO;;999;;0;
MSP1EP;1014-SINAL DE MAIS;;999;;5;
MSP1ET;1715-DOIS LOSANGOS;;999;;0;
MSP1ET;1-SEM MARCA                     ;;999;;0;
MSP1T1;1-SEM MARCA                     ;;999;;0;
MSP1T2;1-SEM MARCA                     ;;999;;0;
MSP2EP;1483-SETA PARA CIMA;;999;;0;
MSP2EP;1-SEM MARCA                     ;;999;;4;
MSP2ET;1345-TRIANGULO DUAS BARRAS;;999;;0;
MSP2ET;1339-TRIANGULO SINAL DE MAIS;;999;;0;
MSP2ET;1-SEM MARCA                     ;;999;;0;
MSP2ET;1466-TRÊS MEIO CIRCULOS;;999;;0;
MSP2ET;995-TRIANGULO                     ;;999;;0;
MSP2ET;1489-TRÊS LOSANGOS;;999;;0;
